player,type,count
Alexis Mac Allister,Ball Recovery,4
Alexis Mac Allister,Carry,44
Alexis Mac Allister,Duel,4
Alexis Mac Allister,Pass,59
Alexis Mac Allister,Shot,1
Andrés Mateus Uribe Villa,Ball Recovery,1
Andrés Mateus Uribe Villa,Carry,9
Andrés Mateus Uribe Villa,Duel,1
Andrés Mateus Uribe Villa,Pass,10
Andrés Mateus Uribe Villa,Shot,1
Camilo Andrés Vargas Gil,Ball Recovery,7
Camilo Andrés Vargas Gil,Carry,23
Camilo Andrés Vargas Gil,Pass,44
Carlos Eccehomo Cuesta Figueroa,Ball Recovery,3
Carlos Eccehomo Cuesta Figueroa,Carry,48
Carlos Eccehomo Cuesta Figueroa,Duel,5
Carlos Eccehomo Cuesta Figueroa,Pass,57
Carlos Eccehomo Cuesta Figueroa,Shot,3
Cristian Gabriel Romero,Carry,27
Cristian Gabriel Romero,Duel,3
Cristian Gabriel Romero,Pass,41
Damián Emiliano Martínez,Ball Recovery,6
Damián Emiliano Martínez,Carry,23
Damián Emiliano Martínez,Pass,46
Davinson Sánchez Mina,Ball Recovery,5
Davinson Sánchez Mina,Carry,71
Davinson Sánchez Mina,Duel,5
Davinson Sánchez Mina,Pass,86
Davinson Sánchez Mina,Shot,1
Enzo Fernandez,Ball Recovery,4
Enzo Fernandez,Carry,54
Enzo Fernandez,Duel,2
Enzo Fernandez,Pass,64
Giovani Lo Celso,Ball Recovery,2
Giovani Lo Celso,Carry,8
Giovani Lo Celso,Pass,7
Gonzalo Ariel Montiel,Ball Recovery,1
Gonzalo Ariel Montiel,Carry,18
Gonzalo Ariel Montiel,Duel,1
Gonzalo Ariel Montiel,Pass,32
James David Rodríguez Rubio,Ball Recovery,5
James David Rodríguez Rubio,Carry,51
James David Rodríguez Rubio,Pass,67
James David Rodríguez Rubio,Shot,1
Jefferson Andrés Lerma Solís,Ball Recovery,5
Jefferson Andrés Lerma Solís,Carry,51
Jefferson Andrés Lerma Solís,Duel,6
Jefferson Andrés Lerma Solís,Pass,70
Jefferson Andrés Lerma Solís,Shot,2
Jhon Adolfo Arias Andrade,Ball Recovery,11
Jhon Adolfo Arias Andrade,Carry,51
Jhon Adolfo Arias Andrade,Duel,3
Jhon Adolfo Arias Andrade,Pass,52
Jhon Adolfo Arias Andrade,Shot,3
Jhon Andrés Córdoba Copete,Carry,8
Jhon Andrés Córdoba Copete,Duel,3
Jhon Andrés Córdoba Copete,Pass,11
Jhon Andrés Córdoba Copete,Shot,3
