player,type,count
Aldo Sebastián Corzo Chávez,Ball Recovery,2
Aldo Sebastián Corzo Chávez,Carry,10
Aldo Sebastián Corzo Chávez,Duel,5
Aldo Sebastián Corzo Chávez,Pass,16
Alejandro Garnacho Ferreyra,Ball Recovery,2
Alejandro Garnacho Ferreyra,Carry,27
Alejandro Garnacho Ferreyra,Duel,3
Alejandro Garnacho Ferreyra,Pass,22
Alejandro Garnacho Ferreyra,Shot,2
Alexander Martín Marquinho Callens Asín,Ball Recovery,2
Alexander Martín Marquinho Callens Asín,Carry,9
Alexander Martín Marquinho Callens Asín,Duel,4
Alexander Martín Marquinho Callens Asín,Pass,20
Brayan Roberto Reyna Casaverde,Ball Recovery,3
Brayan Roberto Reyna Casaverde,Carry,14
Brayan Roberto Reyna Casaverde,Pass,8
Carlos Augusto Zambrano Ochandarte,Ball Recovery,2
Carlos Augusto Zambrano Ochandarte,Carry,13
Carlos Augusto Zambrano Ochandarte,Duel,3
Carlos Augusto Zambrano Ochandarte,Pass,22
Carlos Augusto Zambrano Ochandarte,Shot,2
Christian Alberto Cueva Bravo,Carry,6
Christian Alberto Cueva Bravo,Duel,1
Christian Alberto Cueva Bravo,Pass,8
Damián Emiliano Martínez,Ball Recovery,2
Damián Emiliano Martínez,Carry,20
Damián Emiliano Martínez,Pass,24
Enzo Fernandez,Carry,14
Enzo Fernandez,Duel,1
Enzo Fernandez,Pass,18
Enzo Fernandez,Shot,1
Exequiel Alejandro Palacios,Ball Recovery,5
Exequiel Alejandro Palacios,Carry,62
Exequiel Alejandro Palacios,Duel,5
Exequiel Alejandro Palacios,Pass,66
Franco Zanelatto Téllez,Ball Recovery,1
Franco Zanelatto Téllez,Carry,7
Franco Zanelatto Téllez,Duel,1
Franco Zanelatto Téllez,Pass,7
Franco Zanelatto Téllez,Shot,1
Germán Alejandro Pezzella,Ball Recovery,4
Germán Alejandro Pezzella,Carry,57
Germán Alejandro Pezzella,Duel,2
Germán Alejandro Pezzella,Pass,64
Germán Alejandro Pezzella,Shot,1
Gianluca Lapadula Vargas,Ball Recovery,1
Gianluca Lapadula Vargas,Carry,2
Gianluca Lapadula Vargas,Duel,1
Gianluca Lapadula Vargas,Pass,5
Gianluca Lapadula Vargas,Shot,1
Giovani Lo Celso,Ball Recovery,2
Giovani Lo Celso,Carry,36
Giovani Lo Celso,Duel,3
Giovani Lo Celso,Pass,45
Giovani Lo Celso,Shot,1
Gonzalo Ariel Montiel,Carry,59
Gonzalo Ariel Montiel,Duel,6
Gonzalo Ariel Montiel,Pass,78
Guido Rodríguez,Carry,13
Guido Rodríguez,Duel,1
Guido Rodríguez,Pass,17
Jesús Abdallah Castillo Molina,Ball Recovery,3
Jesús Abdallah Castillo Molina,Carry,17
Jesús Abdallah Castillo Molina,Duel,1
Jesús Abdallah Castillo Molina,Pass,18
Jesús Abdallah Castillo Molina,Shot,1
José Daniel Rivera Martínez,Carry,8
José Daniel Rivera Martínez,Pass,8
José Paolo Guerrero Gonzáles,Ball Recovery,1
José Paolo Guerrero Gonzáles,Carry,4
José Paolo Guerrero Gonzáles,Duel,3
José Paolo Guerrero Gonzáles,Pass,5
Lautaro Javier Martínez,Ball Recovery,2
Lautaro Javier Martínez,Carry,18
Lautaro Javier Martínez,Duel,4
Lautaro Javier Martínez,Pass,14
Lautaro Javier Martínez,Shot,4
Leandro Daniel Paredes,Ball Recovery,2
Leandro Daniel Paredes,Carry,49
Leandro Daniel Paredes,Duel,2
Leandro Daniel Paredes,Pass,68
Leandro Daniel Paredes,Shot,2
Lucas Martínez Quarta,Carry,6
Lucas Martínez Quarta,Duel,1
Lucas Martínez Quarta,Pass,6
Marcos Johan López Lanfranco,Ball Recovery,7
Marcos Johan López Lanfranco,Carry,19
Marcos Johan López Lanfranco,Duel,1
Marcos Johan López Lanfranco,Pass,29
Marcos Johan López Lanfranco,Shot,1
Nicolás Alejandro Tagliafico,Ball Recovery,3
Nicolás Alejandro Tagliafico,Carry,69
Nicolás Alejandro Tagliafico,Duel,3
Nicolás Alejandro Tagliafico,Pass,87
Nicolás Hernán Otamendi,Ball Recovery,2
Nicolás Hernán Otamendi,Carry,63
Nicolás Hernán Otamendi,Duel,2
Nicolás Hernán Otamendi,Pass,84
Nicolás Iván González,Ball Recovery,2
Nicolás Iván González,Carry,8
Nicolás Iván González,Duel,1
Nicolás Iván González,Pass,9
Oliver Sonne,Ball Recovery,3
Oliver Sonne,Carry,14
Oliver Sonne,Duel,3
Oliver Sonne,Pass,28
Pedro David Gallese Quiróz,Ball Recovery,6
Pedro David Gallese Quiróz,Carry,8
Pedro David Gallese Quiróz,Pass,23
Sergio Fernando Peña Flores,Ball Recovery,2
Sergio Fernando Peña Flores,Carry,36
Sergio Fernando Peña Flores,Duel,4
Sergio Fernando Peña Flores,Pass,41
Valentin Carboni,Carry,6
Valentin Carboni,Pass,5
Wilder José Cartagena Mendoza,Ball Recovery,2
Wilder José Cartagena Mendoza,Carry,5
Wilder José Cartagena Mendoza,Duel,1
Wilder José Cartagena Mendoza,Pass,7
Wilder José Cartagena Mendoza,Shot,1
Ángel Fabián Di María Hernández,Ball Recovery,1
Ángel Fabián Di María Hernández,Carry,48
Ángel Fabián Di María Hernández,Duel,2
Ángel Fabián Di María Hernández,Pass,59
Ángel Fabián Di María Hernández,Shot,1
Édison Michael Flores Peralta,Ball Recovery,1
Édison Michael Flores Peralta,Carry,6
Édison Michael Flores Peralta,Pass,6
