player,type,count
Ali Ahmed,Ball Recovery,5
Ali Ahmed,Carry,34
Ali Ahmed,Duel,3
Ali Ahmed,Pass,28
Alistair Johnston,Ball Recovery,3
Alistair Johnston,Carry,14
Alistair Johnston,Duel,4
Alistair Johnston,Pass,29
Alphonso Davies,Ball Recovery,2
Alphonso Davies,Carry,7
Alphonso Davies,Pass,8
Alphonso Davies,Shot,2
Cristian Gonzalo Olivera Ibarra,Carry,7
Cristian Gonzalo Olivera Ibarra,Pass,6
Darwin Gabriel Núñez Ribeiro,Ball Recovery,5
Darwin Gabriel Núñez Ribeiro,Carry,9
Darwin Gabriel Núñez Ribeiro,Duel,3
Darwin Gabriel Núñez Ribeiro,Pass,6
Darwin Gabriel Núñez Ribeiro,Shot,1
Dayne Tristan St. Clair,Ball Recovery,2
Dayne Tristan St. Clair,Carry,15
Dayne Tristan St. Clair,Pass,25
Derek Cornelius,Carry,2
Derek Cornelius,Duel,1
Derek Cornelius,Pass,3
Facundo Pellistri Rebollo,Ball Recovery,3
Facundo Pellistri Rebollo,Carry,12
Facundo Pellistri Rebollo,Duel,3
Facundo Pellistri Rebollo,Pass,8
Federico Santiago Valverde Dipetta,Ball Recovery,2
Federico Santiago Valverde Dipetta,Carry,24
Federico Santiago Valverde Dipetta,Duel,1
Federico Santiago Valverde Dipetta,Pass,30
Federico Santiago Valverde Dipetta,Shot,3
Giorgian Daniel De Arrascaeta Benedetti,Ball Recovery,2
Giorgian Daniel De Arrascaeta Benedetti,Carry,15
Giorgian Daniel De Arrascaeta Benedetti,Duel,1
Giorgian Daniel De Arrascaeta Benedetti,Pass,26
Giorgian Daniel De Arrascaeta Benedetti,Shot,1
Ismael Koné,Ball Recovery,12
Ismael Koné,Carry,44
Ismael Koné,Duel,2
Ismael Koné,Pass,51
Ismael Koné,Shot,3
Jacob Shaffelburg,Carry,16
Jacob Shaffelburg,Duel,2
Jacob Shaffelburg,Pass,25
Jonathan David,Ball Recovery,3
Jonathan David,Carry,8
Jonathan David,Duel,1
Jonathan David,Pass,11
Jonathan David,Shot,2
Jonathan Osorio,Ball Recovery,6
Jonathan Osorio,Carry,28
Jonathan Osorio,Duel,2
Jonathan Osorio,Pass,28
Jonathan Osorio,Shot,2
José María Giménez de Vargas,Ball Recovery,3
José María Giménez de Vargas,Carry,36
José María Giménez de Vargas,Duel,5
José María Giménez de Vargas,Pass,55
José María Giménez de Vargas,Shot,2
Liam Millar,Carry,3
Liam Millar,Pass,6
Luc Rollet De Fougerolles,Ball Recovery,2
Luc Rollet De Fougerolles,Carry,11
Luc Rollet De Fougerolles,Duel,3
Luc Rollet De Fougerolles,Pass,16
Luc Rollet De Fougerolles,Shot,1
Lucas René Olaza Catrofe,Ball Recovery,1
Lucas René Olaza Catrofe,Carry,9
Lucas René Olaza Catrofe,Pass,14
Luis Alberto Suárez Díaz,Ball Recovery,1
Luis Alberto Suárez Díaz,Carry,15
Luis Alberto Suárez Díaz,Duel,1
Luis Alberto Suárez Díaz,Pass,8
Luis Alberto Suárez Díaz,Shot,4
Manuel Ugarte Ribeiro,Ball Recovery,1
Manuel Ugarte Ribeiro,Carry,11
Manuel Ugarte Ribeiro,Duel,1
Manuel Ugarte Ribeiro,Pass,11
Mathieu Choiniere,Ball Recovery,5
Mathieu Choiniere,Carry,38
Mathieu Choiniere,Duel,4
Mathieu Choiniere,Pass,49
Mathieu Choiniere,Shot,1
Matías Nicolás Viña Susperreguy,Ball Recovery,1
Matías Nicolás Viña Susperreguy,Carry,29
Matías Nicolás Viña Susperreguy,Duel,2
Matías Nicolás Viña Susperreguy,Pass,34
Maximiliano Javier Araújo Vilches,Ball Recovery,2
Maximiliano Javier Araújo Vilches,Carry,17
Maximiliano Javier Araújo Vilches,Duel,2
Maximiliano Javier Araújo Vilches,Pass,12
Maximiliano Javier Araújo Vilches,Shot,1
Moise Bombito,Ball Recovery,3
Moise Bombito,Carry,28
Moise Bombito,Duel,3
Moise Bombito,Pass,42
Moise Bombito,Shot,4
Nahitan Michel Nández Acosta,Ball Recovery,3
Nahitan Michel Nández Acosta,Carry,23
Nahitan Michel Nández Acosta,Duel,2
Nahitan Michel Nández Acosta,Pass,39
Paul Brian Rodríguez Bravo,Ball Recovery,1
Paul Brian Rodríguez Bravo,Carry,11
Paul Brian Rodríguez Bravo,Duel,1
Paul Brian Rodríguez Bravo,Pass,13
Paul Brian Rodríguez Bravo,Shot,1
Richie Laryea,Ball Recovery,7
Richie Laryea,Carry,24
Richie Laryea,Duel,4
Richie Laryea,Pass,34
Richie Laryea,Shot,1
Rodrigo Bentancur Colmán,Ball Recovery,9
Rodrigo Bentancur Colmán,Carry,28
Rodrigo Bentancur Colmán,Duel,2
Rodrigo Bentancur Colmán,Pass,33
Rodrigo Bentancur Colmán,Shot,2
Sebastián Enzo Cáceres Ramos,Ball Recovery,5
Sebastián Enzo Cáceres Ramos,Carry,27
Sebastián Enzo Cáceres Ramos,Duel,2
Sebastián Enzo Cáceres Ramos,Pass,40
Sebastián Enzo Cáceres Ramos,Shot,1
Sergio Rochet Álvarez,Ball Recovery,6
Sergio Rochet Álvarez,Carry,17
Sergio Rochet Álvarez,Pass,30
Tanitoluwa Oluwaseyi,Ball Recovery,1
Tanitoluwa Oluwaseyi,Carry,13
Tanitoluwa Oluwaseyi,Duel,4
Tanitoluwa Oluwaseyi,Pass,20
Tanitoluwa Oluwaseyi,Shot,3
Thelonius Bair,Carry,2
Thelonius Bair,Duel,1
Thelonius Bair,Pass,3
