player,type,count
Agustín Canobbio Graviz,Ball Recovery,1
Agustín Canobbio Graviz,Carry,6
Agustín Canobbio Graviz,Duel,1
Agustín Canobbio Graviz,Pass,4
Andrés Mateus Uribe Villa,Ball Recovery,1
Andrés Mateus Uribe Villa,Carry,4
Andrés Mateus Uribe Villa,Pass,7
Andrés Mateus Uribe Villa,Shot,2
Camilo Andrés Vargas Gil,Ball Recovery,4
Camilo Andrés Vargas Gil,Carry,10
Camilo Andrés Vargas Gil,Pass,38
Carlos Eccehomo Cuesta Figueroa,Ball Recovery,2
Carlos Eccehomo Cuesta Figueroa,Carry,16
Carlos Eccehomo Cuesta Figueroa,Duel,2
Carlos Eccehomo Cuesta Figueroa,Pass,30
Cristian Gonzalo Olivera Ibarra,Ball Recovery,2
Cristian Gonzalo Olivera Ibarra,Carry,12
Cristian Gonzalo Olivera Ibarra,Duel,1
Cristian Gonzalo Olivera Ibarra,Pass,13
Daniel Muñoz Mejía,Ball Recovery,4
Daniel Muñoz Mejía,Carry,12
Daniel Muñoz Mejía,Duel,1
Daniel Muñoz Mejía,Pass,24
Daniel Muñoz Mejía,Shot,1
Darwin Gabriel Núñez Ribeiro,Ball Recovery,6
Darwin Gabriel Núñez Ribeiro,Carry,19
Darwin Gabriel Núñez Ribeiro,Duel,3
Darwin Gabriel Núñez Ribeiro,Pass,18
Darwin Gabriel Núñez Ribeiro,Shot,4
Davinson Sánchez Mina,Ball Recovery,1
Davinson Sánchez Mina,Carry,21
Davinson Sánchez Mina,Duel,5
Davinson Sánchez Mina,Pass,31
Diego Nicolás De La Cruz Arcosa,Ball Recovery,3
Diego Nicolás De La Cruz Arcosa,Carry,40
Diego Nicolás De La Cruz Arcosa,Duel,4
Diego Nicolás De La Cruz Arcosa,Pass,48
Diego Nicolás De La Cruz Arcosa,Shot,1
Facundo Pellistri Rebollo,Ball Recovery,3
Facundo Pellistri Rebollo,Carry,8
Facundo Pellistri Rebollo,Duel,2
Facundo Pellistri Rebollo,Pass,3
Federico Santiago Valverde Dipetta,Ball Recovery,7
Federico Santiago Valverde Dipetta,Carry,58
Federico Santiago Valverde Dipetta,Duel,1
Federico Santiago Valverde Dipetta,Pass,73
Federico Santiago Valverde Dipetta,Shot,1
Giorgian Daniel De Arrascaeta Benedetti,Carry,20
Giorgian Daniel De Arrascaeta Benedetti,Duel,2
Giorgian Daniel De Arrascaeta Benedetti,Pass,28
Guillermo Varela Olivera,Ball Recovery,1
Guillermo Varela Olivera,Carry,12
Guillermo Varela Olivera,Duel,3
Guillermo Varela Olivera,Pass,18
James David Rodríguez Rubio,Ball Recovery,3
James David Rodríguez Rubio,Carry,18
James David Rodríguez Rubio,Duel,1
James David Rodríguez Rubio,Pass,28
Jefferson Andrés Lerma Solís,Ball Recovery,4
Jefferson Andrés Lerma Solís,Carry,14
Jefferson Andrés Lerma Solís,Duel,5
Jefferson Andrés Lerma Solís,Pass,18
Jefferson Andrés Lerma Solís,Shot,3
Jhon Adolfo Arias Andrade,Ball Recovery,3
Jhon Adolfo Arias Andrade,Carry,15
Jhon Adolfo Arias Andrade,Duel,2
Jhon Adolfo Arias Andrade,Pass,16
Jhon Adolfo Arias Andrade,Shot,1
Jhon Andrés Córdoba Copete,Ball Recovery,3
Jhon Andrés Córdoba Copete,Carry,11
Jhon Andrés Córdoba Copete,Duel,4
Jhon Andrés Córdoba Copete,Pass,14
Jhon Andrés Córdoba Copete,Shot,2
Johan Andrés Mojica Palacio,Ball Recovery,8
Johan Andrés Mojica Palacio,Carry,25
Johan Andrés Mojica Palacio,Duel,3
Johan Andrés Mojica Palacio,Pass,32
José María Giménez de Vargas,Ball Recovery,5
José María Giménez de Vargas,Carry,31
José María Giménez de Vargas,Duel,7
José María Giménez de Vargas,Pass,54
José María Giménez de Vargas,Shot,2
Kevin Duvan Castaño Gil,Ball Recovery,1
Kevin Duvan Castaño Gil,Carry,5
Kevin Duvan Castaño Gil,Duel,2
Kevin Duvan Castaño Gil,Pass,10
Luis Alberto Suárez Díaz,Ball Recovery,4
Luis Alberto Suárez Díaz,Carry,10
Luis Alberto Suárez Díaz,Pass,9
Luis Alberto Suárez Díaz,Shot,1
Luis Fernando Díaz Marulanda,Ball Recovery,3
Luis Fernando Díaz Marulanda,Carry,34
Luis Fernando Díaz Marulanda,Duel,4
Luis Fernando Díaz Marulanda,Pass,21
Luis Fernando Díaz Marulanda,Shot,1
Luis Fernando Sinisterra Lucumí,Ball Recovery,1
Luis Fernando Sinisterra Lucumí,Carry,6
Luis Fernando Sinisterra Lucumí,Pass,9
Manuel Ugarte Ribeiro,Ball Recovery,6
Manuel Ugarte Ribeiro,Carry,51
Manuel Ugarte Ribeiro,Duel,4
Manuel Ugarte Ribeiro,Pass,60
Manuel Ugarte Ribeiro,Shot,1
Mathías Olivera Miramontes,Ball Recovery,1
Mathías Olivera Miramontes,Carry,14
Mathías Olivera Miramontes,Duel,5
Mathías Olivera Miramontes,Pass,18
Maximiliano Javier Araújo Vilches,Ball Recovery,1
Maximiliano Javier Araújo Vilches,Carry,33
Maximiliano Javier Araújo Vilches,Duel,1
Maximiliano Javier Araújo Vilches,Pass,27
Maximiliano Javier Araújo Vilches,Shot,1
Richard Rios Montoya,Carry,21
Richard Rios Montoya,Duel,1
Richard Rios Montoya,Pass,19
Richard Rios Montoya,Shot,1
Rodrigo Bentancur Colmán,Ball Recovery,1
Rodrigo Bentancur Colmán,Carry,14
Rodrigo Bentancur Colmán,Duel,2
Rodrigo Bentancur Colmán,Pass,17
Santiago Arias Naranjo,Carry,2
Santiago Arias Naranjo,Duel,1
Santiago Arias Naranjo,Pass,6
Sebastián Enzo Cáceres Ramos,Ball Recovery,4
Sebastián Enzo Cáceres Ramos,Carry,26
Sebastián Enzo Cáceres Ramos,Duel,6
Sebastián Enzo Cáceres Ramos,Pass,45
Sergio Rochet Álvarez,Ball Recovery,5
Sergio Rochet Álvarez,Carry,10
Sergio Rochet Álvarez,Pass,25
Yerry Fernando Mina González,Carry,1
Yerry Fernando Mina González,Duel,1
Yerry Fernando Mina González,Pass,1
