home_team,away_team,match_id,Plays
Argentina,Colombia,3943077,Argentina vs Colombia
Canada,Uruguay,3943076,Canada vs Uruguay
Uruguay,Colombia,3942852,Uruguay vs Colombia
Argentina,Canada,3942785,Argentina vs Canada
Colombia,Panama,3942416,Colombia vs Panama
Uruguay,Brazil,3942415,Uruguay vs Brazil
Argentina,Peru,3939986,Argentina vs Peru
Uruguay,Panama,3939973,Uruguay vs Panama
Venezuela,Canada,3942229,Venezuela vs Canada
Argentina,Ecuador,3942228,Argentina vs Ecuador
Canada,Chile,3939985,Canada vs Chile
Colombia,Costa Rica,3939984,Colombia vs Costa Rica
Panama,United States,3939981,Panama vs United States
Costa Rica,Paraguay,3939992,Costa Rica vs Paraguay
Brazil,Colombia,3939991,Brazil vs Colombia
United States,Uruguay,3939990,United States vs Uruguay
Bolivia,Panama,3939989,Bolivia vs Panama
Mexico,Ecuador,3939988,Mexico vs Ecuador
Jamaica,Venezuela,3939987,Jamaica vs Venezuela
Paraguay,Brazil,3939983,Paraguay vs Brazil
Uruguay,Bolivia,3939982,Uruguay vs Bolivia
Ecuador,Jamaica,3939980,Ecuador vs Jamaica
Venezuela,Mexico,3939979,Venezuela vs Mexico
Peru,Canada,3939978,Peru vs Canada
Chile,Argentina,3939977,Chile vs Argentina
Brazil,Costa Rica,3939976,Brazil vs Costa Rica
Colombia,Paraguay,3939975,Colombia vs Paraguay
United States,Bolivia,3939974,United States vs Bolivia
Ecuador,Venezuela,3939972,Ecuador vs Venezuela
Mexico,Jamaica,3939971,Mexico vs Jamaica
Peru,Chile,3939970,Peru vs Chile
Argentina,Canada,3939969,Argentina vs Canada
